student_id,roll_no,full_name,gender,email,phone,branch,year,semester,section
1001,CSE221001,Student_1,Male,student1@mail.com,9000000001,ECE,4,1,A
1002,CSE221002,Student_2,Female,student2@mail.com,9000000002,DS,4,6,B
1003,CSE221003,Student_3,Female,student3@mail.com,9000000003,AI,3,8,C
1004,CSE221004,Student_4,Male,student4@mail.com,9000000004,IT,4,7,B
1005,CSE221005,Student_5,Female,student5@mail.com,9000000005,ECE,3,6,A
1006,CSE221006,Student_6,Male,student6@mail.com,9000000006,CSE,2,7,A
1007,CSE221007,Student_7,Male,student7@mail.com,9000000007,ECE,3,2,C
1008,CSE221008,Student_8,Female,student8@mail.com,9000000008,DS,3,4,C
1009,CSE221009,Student_9,Female,student9@mail.com,9000000009,AI,1,7,B
1010,CSE221010,Student_10,Male,student10@mail.com,9000000010,DS,2,4,A
1011,CSE221011,Student_11,Male,student11@mail.com,9000000011,IT,2,3,B
1012,CSE221012,Student_12,Female,student12@mail.com,9000000012,ECE,2,5,B
1013,CSE221013,Student_13,Female,student13@mail.com,9000000013,IT,3,3,B
1014,CSE221014,Student_14,Female,student14@mail.com,9000000014,ECE,3,2,A
1015,CSE221015,Student_15,Female,student15@mail.com,9000000015,CSE,1,5,A
1016,CSE221016,Student_16,Male,student16@mail.com,9000000016,AI,4,3,B
1017,CSE221017,Student_17,Male,student17@mail.com,9000000017,DS,3,1,A
1018,CSE221018,Student_18,Female,student18@mail.com,9000000018,IT,1,5,A
1019,CSE221019,Student_19,Female,student19@mail.com,9000000019,AI,4,3,B
1020,CSE221020,Student_20,Male,student20@mail.com,9000000020,ECE,2,8,B
1021,CSE221021,Student_21,Male,student21@mail.com,9000000021,CSE,2,6,B
1022,CSE221022,Student_22,Male,student22@mail.com,9000000022,AI,4,2,C
1023,CSE221023,Student_23,Female,student23@mail.com,9000000023,DS,4,5,C
1024,CSE221024,Student_24,Female,student24@mail.com,9000000024,CSE,3,2,A
1025,CSE221025,Student_25,Female,student25@mail.com,9000000025,DS,1,3,A
1026,CSE221026,Student_26,Female,student26@mail.com,9000000026,AI,4,7,A
1027,CSE221027,Student_27,Male,student27@mail.com,9000000027,CSE,3,4,B
1028,CSE221028,Student_28,Male,student28@mail.com,9000000028,IT,1,8,A
1029,CSE221029,Student_29,Female,student29@mail.com,9000000029,IT,4,4,C
1030,CSE221030,Student_30,Female,student30@mail.com,9000000030,ECE,1,4,B
1031,CSE221031,Student_31,Male,student31@mail.com,9000000031,CSE,2,7,B
1032,CSE221032,Student_32,Male,student32@mail.com,9000000032,DS,3,5,B
1033,CSE221033,Student_33,Female,student33@mail.com,9000000033,AI,3,6,C
1034,CSE221034,Student_34,Female,student34@mail.com,9000000034,IT,4,3,A
1035,CSE221035,Student_35,Female,student35@mail.com,9000000035,ECE,1,4,A
1036,CSE221036,Student_36,Male,student36@mail.com,9000000036,AI,2,6,A
1037,CSE221037,Student_37,Female,student37@mail.com,9000000037,ECE,2,8,C
1038,CSE221038,Student_38,Female,student38@mail.com,9000000038,CSE,2,1,B
1039,CSE221039,Student_39,Male,student39@mail.com,9000000039,DS,4,4,A
1040,CSE221040,Student_40,Male,student40@mail.com,9000000040,IT,3,5,A
1041,CSE221041,Student_41,Female,student41@mail.com,9000000041,ECE,2,8,A
1042,CSE221042,Student_42,Female,student42@mail.com,9000000042,AI,2,7,B
1043,CSE221043,Student_43,Male,student43@mail.com,9000000043,AI,1,1,C
